index,"unnamed_0","por",jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann,"county","state"
80,"24128WINNEMUCCA,NV","196501-198312",49,55,60,62,73,76,85,81,81,73,48,46,65,"winnemucca","NV"
81,"14745CONCORD,NH","196501-198312",56,59,53,58,58,59,66,62,57,54,43,45,55,"concord","NH"
82,"14755MT. WASHINGTON,NH","196501-201212",30,34,33,37,37,31,30,30,35,35,30,27,32,"mt. washington","NH"
83,"93730ATLANTIC CITY,NJ","196501-198312",46,52,52,54,53,56,58,63,59,54,46,43,53,"atlantic city","NJ"
84,"23050ALBUQUERQUE,NM","196501-198312",73,73,73,78,80,82,76,76,77,80,75,73,76,"albuquerque","NM"
85,"23009ROSWELL,NM","197301-198212",61,69,77,78,81,84,79,71,71,75,70,70,73,"roswell","NM"
86,"14735ALBANY,NY","196501-200712",46,52,51,55,53,55,62,58,54,46,33,36,50,"albany","NY"
87,"04725BINGHAMTON,NY","196501-198312",39,42,44,51,55,59,64,61,53,45,29,28,47,"binghamton","NY"
88,"14733BUFFALO,NY","196501-201412",31,36,45,54,59,62,66,63,56,44,29,23,47,"buffalo","NY"
89,"14768ROCHESTER,NY","196501-198312",36,40,47,54,58,63,67,63,56,44,25,24,48,"rochester","NY"
90,"14771SYRACUSE,NY","196501-200912",34,39,46,53,53,54,60,57,51,40,25,23,44,"syracuse","NY"
91,"03812ASHEVILLE,NC","196501-198312",55,61,61,66,61,64,59,55,55,61,59,56,59,"asheville","NC"
92,"93729CAPE HATTERAS,NC","196501-198312",47,54,59,67,60,60,61,62,61,57,54,46,57,"cape hatteras","NC"
93,"13881CHARLOTTE,NC","196501-198312",56,62,64,70,69,69,67,69,65,65,61,57,64,"charlotte","NC"
94,"13723GREENSBORO-WNSTN-SALM-HGHPT,NC","196501-198312",54,59,62,64,60,61,61,61,59,61,59,56,59,"greensboro-wnstn-salm-hghpt","NC"
95,"13722RALEIGH,NC","196501-198312",51,60,62,64,59,61,60,61,59,60,58,53,59,"raleigh","NC"
96,"13748WILMINGTON,NC","196501-198312",56,61,64,71,64,63,63,61,61,63,64,57,62,"wilmington","NC"
97,"24011BISMARCK,ND","196501-198312",54,52,61,58,64,67,75,72,67,53,42,45,59,"bismarck","ND"
98,"14914FARGO,ND","196501-198312",52,54,59,57,60,64,74,71,63,51,39,39,56,"fargo","ND"
99,"94014WILLISTON,ND","196501-200912",51,57,61,59,63,68,77,75,67,56,43,47,60,"williston","ND"
100,"93814CINCINNATI,OH","198305-198312",NULL,NULL,NULL,NULL,47,70,85,76,77,50,44,30,NULL,"cincinnati","OH"
101,"14820CLEVELAND,OH","196501-200912",31,40,44,52,57,64,66,61,59,48,30,22,47,"cleveland","OH"
102,"14821COLUMBUS,OH","196501-198312",34,42,42,49,53,54,54,54,55,53,33,28,45,"columbus","OH"
103,"93815DAYTON,OH","196501-198312",43,47,49,53,61,68,66,65,62,55,37,33,53,"dayton","OH"
104,"94830TOLEDO,OH","196501-198312",41,48,50,53,59,61,65,61,58,52,34,29,50,"toledo","OH"
105,"13967OKLAHOMA CITY,OK","196501-198312",60,61,65,67,66,73,79,76,68,67,58,59,66,"oklahoma city","OK"
106,"13968TULSA,OK","196501-198312",51,56,58,60,60,66,74,71,60,62,50,51,59,"tulsa","OK"
107,"24229PORTLAND,OR","196501-198312",28,41,55,58,63,61,72,69,64,46,29,20,50,"portland","OR"
108,"14737ALLENTOWN,PA","198307-198311",NULL,NULL,NULL,NULL,NULL,NULL,90,93,82,52,47,NULL,NULL,"allentown","PA"
109,"13739PHILADELPHIA,PA","196501-200612",51,54,54,56,53,60,62,63,58,58,49,45,55,"philadelphia","PA"
110,"94823PITTSBURGH,PA","196501-201412",28,37,42,46,48,52,54,51,52,46,31,23,42,"pittsburgh","PA"
111,"14777AVOCA,PA","196501-198312",43,50,49,55,55,60,64,62,53,48,33,33,50,"avoca","PA"
112,"14765PROVIDENCE,RI","196501-198312",57,58,55,56,55,59,64,61,62,61,48,51,57,"providence","RI"
113,"13883COLUMBIA,SC","196501-198312",55,60,65,69,67,68,67,66,65,66,64,57,64,"columbia","SC"
114,"03870GREENVILLE-SPARTANBURG,SC","196501-198312",54,59,64,67,60,60,60,61,60,65,59,55,60,"greenville-spartanburg","SC"
115,"14929ABERDEEN,SD","200804-200912",NULL,54,58,63,65,66,74,78,68,48,21,NULL,NULL,"aberdeen","SD"
116,"14936HURON,SD","196501-198312",62,62,62,59,66,69,76,74,69,59,51,51,63,"huron","SD"
117,"24090RAPID CITY,SD","196501-198312",54,60,62,57,59,65,72,74,71,65,52,54,62,"rapid city","SD"
118,"14944SIOUX FALLS,SD","200601-200912",53,59,46,54,55,58,71,61,59,57,49,55,56,"sioux falls","SD"
119,"13882CHATTANOOGA,TN","196501-198312",44,49,54,60,61,63,58,59,57,60,51,46,55,"chattanooga","TN"
120,"13891KNOXVILLE,TN","196501-198312",42,48,56,67,65,67,65,67,61,62,51,41,57,"knoxville","TN"
121,"13893MEMPHIS,TN","196501-198312",51,55,58,65,67,74,74,74,67,70,56,50,63,"memphis","TN"
122,"13897NASHVILLE,TN","196501-201212",42,47,52,58,60,65,64,63,59,62,47,42,55,"nashville","TN"
123,"13962ABILENE,TX","196501-198312",63,66,70,71,71,77,80,75,69,68,64,65,69,"abilene","TX"
124,"23047AMARILLO,TX","196501-198312",67,70,71,75,73,79,78,76,70,74,67,65,72,"amarillo","TX"
125,"13958AUSTIN,TX","196501-200912",50,56,53,52,52,66,72,70,64,61,55,51,58,"austin","TX"
126,"12919BROWNSVILLE,TX","196501-198312",38,47,55,61,64,76,80,75,69,62,51,40,59,"brownsville","TX"
127,"12924CORPUS CHRISTI,TX","196501-198312",43,50,52,54,55,72,79,74,68,66,57,45,59,"corpus christi","TX"
128,"13960DALLAS,TX","196501-197312",54,59,61,57,58,69,74,69,62,62,58,55,61,"dallas","TX"
129,"23044EL PASO,TX","196501-198312",77,83,87,88,89,90,83,81,81,85,81,79,83,"el paso","TX"
130,"12960HOUSTON,TX","196906-198312",43,50,47,50,57,65,67,64,63,62,54,48,55,"houston","TX"
131,"23042LUBBOCK,TX","197212-198312",63,67,75,73,74,80,79,80,72,75,68,68,72,"lubbock","TX"
132,"23023MIDLAND-ODESSA,TX","198011-198312",67,64,71,70,79,83,85,78,83,72,73,66,74,"midland-odessa","TX"
133,"12917PORT ARTHUR,TX","196501-198012",41,54,50,53,60,69,66,62,62,67,58,47,57,"port arthur","TX"
134,"12921SAN ANTONIO,TX","196501-200812",49,55,57,51,50,65,72,69,62,60,54,48,57,"san antonio","TX"
135,"24127SALT LAKE CITY,UT","196501-198312",43,59,67,69,73,81,85,83,81,71,52,39,66,"salt lake city","UT"
136,"14742BURLINGTON,VT","196501-200812",45,49,49,52,55,56,66,59,53,46,31,31,49,"burlington","VT"
137,"13733LYNCHBURG,VA","196501-198312",53,58,60,62,63,65,62,64,60,59,55,52,59,"lynchburg","VA"
138,"13737NORFOLK,VA","196501-198312",55,62,63,67,62,65,64,66,66,59,58,53,61,"norfolk","VA"
139,"13740RICHMOND,VA","196501-198312",54,61,62,66,65,68,66,67,65,60,60,54,62,"richmond","VA"
140,"94240QUILLAYUTE,WA","196608-198312",20,28,31,36,37,35,42,42,44,34,21,16,32,"quillayute","WA"
141,"24233SEATTLE,WA","196503-198312",23,38,50,52,55,55,64,62,57,43,29,20,45,"seattle","WA"
142,"24157SPOKANE,WA","196501-198312",25,37,53,57,63,65,78,76,70,54,26,22,52,"spokane","WA"
143,"13729ELKINS,WV","198307-198312",NULL,NULL,NULL,NULL,NULL,NULL,69,50,52,43,31,18,NULL,"elkins","WV"
144,"14898GREEN BAY,WI","196501-200912",51,56,55,56,64,66,69,65,57,48,35,38,55,"green bay","WI"
145,"14837MADISON,WI","196501-198312",47,51,50,49,57,63,67,62,58,50,37,36,52,"madison","WI"
146,"14839MILWAUKEE,WI","196501-198312",47,51,50,52,60,65,69,64,57,51,37,35,53,"milwaukee","WI"
147,"24018CHEYENNE,WY","196501-198312",58,66,67,66,63,64,67,70,70,67,56,57,64,"cheyenne","WY"
148,"24021LANDER,WY","196501-198312",63,67,69,65,63,71,74,76,73,66,58,59,67,"lander","WY"
149,"24029SHERIDAN,WY","196501-198312",50,55,61,57,59,65,74,74,69,59,52,52,60,"sheridan","WY"
150,"41415GUAM,PC","196501-198312",54,57,61,63,59,54,44,41,39,41,41,48,50,"guam","PC"
151,"40309KOROR,PC","196501-200612",56,59,64,63,58,47,48,48,54,49,53,51,54,"koror","PC"
152,"40710MAJURO- MARSHALL IS,PC","196501-200612",62,66,66,55,57,55,56,62,61,55,54,54,58,"majuro- marshall is","PC"
153,"61705PAGO PAGO- AMER SAMOA,PC","196604-201012",43,45,50,44,38,38,45,51,57,44,42,40,44,"pago pago- amer samoa","PC"
154,"40504POHNPEI- CAROLINE IS.,PC","196501-200612",40,43,47,43,41,40,40,43,44,38,41,35,41,"pohnpei- caroline is.","PC"
155,"40505CHUUK- E. CAROLINE IS.,PC","196501-200612",56,62,60,57,52,50,53,57,51,48,49,51,53,"chuuk- e. caroline is.","PC"
156,"40308YAP- W CAROLINE IS.,PC","196501-200612",57,62,66,66,61,55,48,49,51,51,57,58,56,"yap- w caroline is.","PC"
157,"11641SAN JUAN,PR","196501-200712",66,69,75,69,58,63,68,67,65,60,57,57,64,"san juan","PR"
