index,"city","state","population","violent_crime",murder,"rape_revised_definition",rape_legacy_definition,"robbery","aggravated_assault","violent_crime_rate_per_100_000",murder_rate_per_100_000_people,"rape_new_rate","rape_old_rate","robbery_rate","aggravated_assault_rate"
4435,"tuttle","OK","6,482","10",0,"0",NULL,"2","8","154.27",0,"0","0","30.85","123.42"
4436,"st. john","MO","6,479","27",0,"0",NULL,"8","19","416.73",0,"0","0","123.48","293.26"
4437,"bartonville","IL","6,473","22",0,"6",NULL,"1","15","339.87",0,"92.69","0","15.45","231.73"
4438,"spring lake park","MN","6,469","12",0,"0",NULL,"2","10","185.5",0,"0","0","30.92","154.58"
4439,"solvay village","NY","6,467","19",0,NULL,0,"6","13","293.8",0,"0","0","92.78","201.02"
4440,"thurmont","MD","6,463","3",0,NULL,0,"1","2","46.42",0,"0","0","15.47","30.95"
4441,"washington","NJ","6,461","10",2,NULL,0,"1","7","154.77",30.95,"0","0","15.48","108.34"
4442,"gladewater","TX","6,455","85",0,"8",NULL,"6","71","1,316.81",0,"123.93","0","92.95","1,099.92"
4443,"raton","NM","6,455","4",1,NULL,0,"3","0","61.97",15.49,"0","0","46.48","0"
4444,"cumberland township, greene county","PA","6,453","11",0,"0",NULL,"1","10","170.46",0,"0","0","15.5","154.97"
4445,"hillsborough","NC","6,451","55",0,NULL,0,"10","45","852.58",0,"0","0","155.01","697.57"
4446,"princeton","WV","6,442","49",2,"2",NULL,"4","41","760.63",31.05,"31.05","0","62.09","636.45"
4447,"metropolis","IL","6,442","40",0,"11",NULL,"4","25","620.93",0,"170.75","0","62.09","388.08"
4448,"peterborough","NH","6,442","10",0,"3",NULL,"0","7","155.23",0,"46.57","0","0","108.66"
4449,"lakeview, harrison county","TX","6,434","11",0,"1",NULL,"0","10","170.97",0,"15.54","0","0","155.42"
4450,"bethel","AK","6,431","56",0,"22",NULL,"1","33","870.78",0,"342.09","0","15.55","513.14"
4451,"coloma township","MI","6,429","22",0,"11",NULL,"2","9","342.2",0,"171.1","0","31.11","139.99"
4452,"belpre","OH","6,429","5",0,"1",NULL,"0","4","77.77",0,"15.55","0","0","62.22"
4453,"oakmont","PA","6,426","11",0,"0",NULL,"2","9","171.18",0,"0","0","31.12","140.06"
4454,"brier","WA","6,425","5",0,"0",NULL,"1","4","77.82",0,"0","0","15.56","62.26"
4455,"louisville","MS","6,422","14",1,NULL,1,"4","8","218",15.57,"0","15.57","62.29","124.57"
4456,"bronxville village","NY","6,421","2",0,NULL,0,"2","0","31.15",0,"0","0","31.15","0"
4457,"avon","CO","6,419","13",0,"1",NULL,"2","10","202.52",0,"15.58","0","31.16","155.79"
4458,"swanton","VT","6,415","10",0,"1",NULL,"1","8","155.88",0,"15.59","0","15.59","124.71"
4459,"iowa park","TX","6,404","18",0,"2",NULL,"1","15","281.07",0,"31.23","0","15.62","234.23"
4460,"cheverly","MD","6,396","27",2,NULL,1,"11","13","422.14",31.27,"0","15.63","171.98","203.25"
4461,"cherry hills village","CO","6,393","2",0,"0",NULL,"0","2","31.28",0,"0","0","0","31.28"
4462,"brookings","OR","6,386","6",0,NULL,1,"2","3","93.96",0,"0","15.66","31.32","46.98"
4463,"lauderdale-by-the-sea","FL","6,385","20",0,"3",NULL,"4","13","313.23",0,"46.99","0","62.65","203.6"
4464,"huntington woods","MI","6,385","6",0,"0",NULL,"2","4","93.97",0,"0","0","31.32","62.65"
4465,"farmington","AR","6,384","10",0,"6",NULL,"1","3","156.64",0,"93.98","0","15.66","46.99"
4466,"crafton","PA","6,377","19",1,"0",NULL,"5","13","297.95",15.68,"0","0","78.41","203.86"
4467,"purcell","OK","6,374","15",0,"2",NULL,"2","11","235.33",0,"31.38","0","31.38","172.58"
4468,"franklin","PA","6,373","11",0,"3",NULL,"0","8","172.6",0,"47.07","0","0","125.53"
4469,"union6","OH","6,373","3",0,"0",NULL,"1","2","47.07",0,"0","0","15.69","31.38"
4470,"white oak","TX","6,372","4",0,"0",NULL,"0","4","62.77",0,"0","0","0","62.77"
4471,"hampstead","MD","6,360","5",0,NULL,1,"0","4","78.62",0,"0","15.72","0","62.89"
4472,"south williamsport","PA","6,355","11",0,"2",NULL,"5","4","173.09",0,"31.47","0","78.68","62.94"
4473,"wilkins township","PA","6,355","7",1,"1",NULL,"4","1","110.15",15.74,"15.74","0","62.94","15.74"
4474,"newport","NH","6,352","12",0,"3",NULL,"2","7","188.92",0,"47.23","0","31.49","110.2"
4475,"lincoln","AL","6,345","35",1,"8",NULL,"4","22","551.62",15.76,"126.08","0","63.04","346.73"
4476,"north bend","WA","6,340","12",1,"1",NULL,"5","5","189.27",15.77,"15.77","0","78.86","78.86"
4477,"margate city","NJ","6,339","2",0,NULL,0,"0","2","31.55",0,"0","0","0","31.55"
4478,"international falls","MN","6,336","12",0,"4",NULL,"2","6","189.39",0,"63.13","0","31.57","94.7"
4479,"cynthiana","KY","6,334","17",0,"2",NULL,"11","4","268.39",0,"31.58","0","173.67","63.15"
4480,"moraine","OH","6,331","19",0,"3",NULL,"9","7","300.11",0,"47.39","0","142.16","110.57"
4481,"stowe township","PA","6,324","16",0,"0",NULL,"9","7","253",0,"0","0","142.31","110.69"
4482,"mulvane","KS","6,322","7",0,"2",NULL,"0","5","110.72",0,"31.64","0","0","79.09"
4483,"meredith","NH","6,318","8",0,"5",NULL,"2","1","126.62",0,"79.14","0","31.66","15.83"
4484,"decatur","TX","6,316","10",0,"1",NULL,"4","5","158.33",0,"15.83","0","63.33","79.16"
4485,"everman","TX","6,307","28",0,"6",NULL,"8","14","443.95",0,"95.13","0","126.84","221.98"
4486,"west miami","FL","6,306","13",0,"0",NULL,"3","10","206.15",0,"0","0","47.57","158.58"
4487,"columbiana","OH","6,305","2",0,"0",NULL,"0","2","31.72",0,"0","0","0","31.72"
4488,"granby","MA","6,303","10",0,"1",NULL,"0","9","158.65",0,"15.87","0","0","142.79"
4489,"ulysses","KS","6,299","15",0,"0",NULL,"0","15","238.13",0,"0","0","0","238.13"
4490,"jackson","OH","6,298","13",0,"2",NULL,"5","6","206.41",0,"31.76","0","79.39","95.27"
4491,"nolensville","TN","6,295","8",0,"1",NULL,"0","7","127.08",0,"15.89","0","0","111.2"
4492,"bremen","GA","6,294","17",0,NULL,1,"1","15","270.1",0,"0","15.89","15.89","238.32"
4493,"johnsburg","IL","6,293","4",0,"1",NULL,"1","2","63.56",0,"15.89","0","15.89","31.78"
4494,"garrett","IN","6,290","3",0,NULL,2,"0","1","47.69",0,"0","31.8","0","15.9"
4495,"los fresnos","TX","6,288","19",0,"1",NULL,"0","18","302.16",0,"15.9","0","0","286.26"
4496,"bloomfield","WI","6,281","6",0,NULL,1,"0","5","95.53",0,"0","15.92","0","79.61"
4497,"clyde","OH","6,277","3",0,"1",NULL,"1","1","47.79",0,"15.93","0","15.93","15.93"
4498,"selma","NC","6,275","58",1,NULL,4,"26","27","924.3",15.94,"0","63.75","414.34","430.28"
4499,"portland","IN","6,275","8",0,"1",NULL,"0","7","127.49",0,"15.94","0","0","111.55"
4500,"tunkhannock township, wyoming county","PA","6,271","1",0,"0",NULL,"0","1","15.95",0,"0","0","0","15.95"
4501,"gaines township","MI","6,268","0",0,"0",NULL,"0","0","0",0,"0","0","0","0"
4502,"woodfin","NC","6,262","13",0,NULL,1,"3","9","207.6",0,"0","15.97","47.91","143.72"
4503,"talent","OR","6,262","12",0,"1",NULL,"0","11","191.63",0,"15.97","0","0","175.66"
4504,"tarrant","AL","6,259","38",2,"2",NULL,"13","21","607.13",31.95,"31.95","0","207.7","335.52"
4505,"flowery branch","GA","6,259","0",0,NULL,0,"0","0","0",0,"0","0","0","0"
4506,"eliot","ME","6,257","2",0,NULL,0,"0","2","31.96",0,"0","0","0","31.96"
4507,"sealy","TX","6,253","47",0,"2",NULL,"4","41","751.64",0,"31.98","0","63.97","655.69"
4508,"collinsville","OK","6,251","7",0,"4",NULL,"0","3","111.98",0,"63.99","0","0","47.99"
4509,"littlefield","TX","6,246","17",0,"0",NULL,"4","13","272.17",0,"0","0","64.04","208.13"
4510,"carlstadt","NJ","6,245","10",0,NULL,0,"2","8","160.13",0,"0","0","32.03","128.1"
4511,"monroeville","AL","6,242","67",1,"1",NULL,"6","59","1,073.37",16.02,"16.02","0","96.12","945.21"
4512,"sandown","NH","6,239","3",0,"3",NULL,"0","0","48.08",0,"48.08","0","0","0"
4513,"forsyth township","MI","6,238","20",0,"7",NULL,"1","12","320.62",0,"112.22","0","16.03","192.37"
4514,"glenarden","MD","6,238","11",1,NULL,0,"4","6","176.34",16.03,"0","0","64.12","96.18"
4515,"harriman","TN","6,234","40",0,"5",NULL,"4","31","641.64",0,"80.21","0","64.16","497.27"
4516,"bellefonte","PA","6,234","3",0,"0",NULL,"1","2","48.12",0,"0","0","16.04","32.08"
4517,"princeton","KY","6,232","18",0,"6",NULL,"9","3","288.83",0,"96.28","0","144.42","48.14"
4518,"oelwein","IA","6,224","39",0,"1",NULL,"1","37","626.61",0,"16.07","0","16.07","594.47"
4519,"darlington","SC","6,223","80",1,"4",NULL,"11","64","1,285.55",16.07,"64.28","0","176.76","1,028.44"
4520,"kermit","TX","6,222","14",1,"1",NULL,"0","12","225.01",16.07,"16.07","0","0","192.86"
4521,"mattapoisett","MA","6,219","9",0,"0",NULL,"0","9","144.72",0,"0","0","0","144.72"
4522,"holly","MI","6,218","17",0,"7",NULL,"2","8","273.4",0,"112.58","0","32.16","128.66"
4523,"shrewsbury","MO","6,216","4",0,"0",NULL,"1","3","64.35",0,"0","0","16.09","48.26"
4524,"orange city","IA","6,211","1",0,"0",NULL,"0","1","16.1",0,"0","0","0","16.1"
4525,"oakland","ME","6,210","12",0,"6",NULL,"0","6","193.24",0,"96.62","0","0","96.62"
4526,"pembroke park","FL","6,208","58",0,"6",NULL,"28","24","934.28",0,"96.65","0","451.03","386.6"
4527,"wolfeboro","NH","6,202","2",0,"0",NULL,"1","1","32.25",0,"0","0","16.12","16.12"
4528,"wendell","NC","6,200","12",0,NULL,0,"4","8","193.55",0,"0","0","64.52","129.03"
4529,"bridgeport","TX","6,199","17",0,"4",NULL,"2","11","274.24",0,"64.53","0","32.26","177.45"
4530,"boonville","IN","6,198","39",0,NULL,1,"1","37","629.24",0,"0","16.13","16.13","596.97"
4531,"gulf breeze","FL","6,197","2",0,"0",NULL,"1","1","32.27",0,"0","0","16.14","16.14"
4532,"pepper pike","OH","6,194","1",0,"0",NULL,"0","1","16.14",0,"0","0","0","16.14"
4533,"taylor","PA","6,191","13",0,"0",NULL,"1","12","209.98",0,"0","0","16.15","193.83"
4534,"cold spring","KY","6,191","5",0,"2",NULL,"3","0","80.76",0,"32.3","0","48.46","0"
4535,"ashburnham","MA","6,190","10",0,"2",NULL,"2","6","161.55",0,"32.31","0","32.31","96.93"
4536,"walker4","LA","6,187","45",2,"2",NULL,"10","31","727.33",32.33,"32.33","0","161.63","501.05"
4537,"chillicothe","IL","6,185","12",0,"0",NULL,"0","12","194.02",0,"0","0","0","194.02"
4538,"mullica township","NJ","6,184","4",1,NULL,0,"0","3","64.68",16.17,"0","0","0","48.51"
4539,"cumberland township, adams county","PA","6,177","2",0,"0",NULL,"0","2","32.38",0,"0","0","0","32.38"
4540,"elsmere","DE","6,173","22",0,"3",NULL,"4","15","356.39",0,"48.6","0","64.8","242.99"
4541,"rushville","IN","6,173","5",0,NULL,1,"1","3","81",0,"0","16.2","16.2","48.6"
4542,"sellersburg","IN","6,167","7",0,NULL,1,"2","4","113.51",0,"0","16.22","32.43","64.86"
4543,"andover township","NJ","6,164","2",0,NULL,0,"0","2","32.45",0,"0","0","0","32.45"
4544,"carroll township, york county","PA","6,157","7",0,"2",NULL,"2","3","113.69",0,"32.48","0","32.48","48.73"
4545,"steilacoom","WA","6,157","6",0,"0",NULL,"0","6","97.45",0,"0","0","0","97.45"
4546,"satsuma","AL","6,156","7",0,"2",NULL,"1","4","113.71",0,"32.49","0","16.24","64.98"
4547,"monticello","KY","6,155","11",0,"0",NULL,"4","7","178.72",0,"0","0","64.99","113.73"
4548,"chatham","MA","6,150","9",0,"3",NULL,"0","6","146.34",0,"48.78","0","0","97.56"
4549,"braidwood","IL","6,148","7",0,"2",NULL,"0","5","113.86",0,"32.53","0","0","81.33"
4550,"plainfield township","PA","6,145","3",0,"0",NULL,"0","3","48.82",0,"0","0","0","48.82"
4551,"northfield","VT","6,144","5",0,"0",NULL,"1","4","81.38",0,"0","0","16.28","65.1"
4552,"kennett square","PA","6,143","7",0,"0",NULL,"4","3","113.95",0,"0","0","65.11","48.84"
4553,"mcrae","GA","6,141","24",0,NULL,0,"2","22","390.82",0,"0","0","32.57","358.25"
4554,"east alton","IL","6,141","21",0,"6",NULL,"10","5","341.96",0,"97.7","0","162.84","81.42"
4555,"marble falls","TX","6,140","16",0,"7",NULL,"4","5","260.59",0,"114.01","0","65.15","81.43"
4556,"brookfield township","WI","6,133","5",0,NULL,0,"2","3","81.53",0,"0","0","32.61","48.92"
4557,"ontario","OH","6,132","2",0,"1",NULL,"1","0","32.62",0,"16.31","0","16.31","0"
4558,"willis","TX","6,127","47",0,"9",NULL,"8","30","767.1",0,"146.89","0","130.57","489.64"
4559,"eldridge","IA","6,126","8",0,"3",NULL,"0","5","130.59",0,"48.97","0","0","81.62"
4560,"wilmore","KY","6,124","6",0,"4",NULL,"0","2","97.98",0,"65.32","0","0","32.66"
4561,"hillsboro","IL","6,123","18",0,"0",NULL,"0","18","293.97",0,"0","0","0","293.97"
4562,"west greenwich","RI","6,122","8",0,"2",NULL,"2","4","130.68",0,"32.67","0","32.67","65.34"
4563,"kingston","NH","6,114","6",0,"1",NULL,"0","5","98.14",0,"16.36","0","0","81.78"
4564,"somerset","PA","6,113","15",0,"1",NULL,"3","11","245.38",0,"16.36","0","49.08","179.94"
4565,"brunswick","MD","6,111","30",0,NULL,2,"2","26","490.92",0,"0","32.73","32.73","425.46"
4566,"patterson","LA","6,111","2",0,"1",NULL,"0","1","32.73",0,"16.36","0","0","16.36"
4567,"twin lakes","WI","6,110","3",0,NULL,0,"1","2","49.1",0,"0","0","16.37","32.73"
4568,"burnet","TX","6,096","39",1,"6",NULL,"1","31","639.76",16.4,"98.43","0","16.4","508.53"
4569,"manistee","MI","6,093","13",0,"4",NULL,"0","9","213.36",0,"65.65","0","0","147.71"
4570,"clearfield","PA","6,091","37",0,"1",NULL,"0","36","607.45",0,"16.42","0","0","591.04"
4571,"willows3","CA","6,089","22",0,"4",NULL,"3","15","361.31",0,"65.69","0","49.27","246.35"
4572,"eastampton township","NJ","6,085","5",0,NULL,0,"4","1","82.17",0,"0","0","65.74","16.43"
4573,"butler township, schuykill county","PA","6,077","2",0,"0",NULL,"0","2","32.91",0,"0","0","0","32.91"
4574,"pigeon forge","TN","6,075","36",0,"8",NULL,"10","18","592.59",0,"131.69","0","164.61","296.3"
4575,"gas city","IN","6,075","17",0,NULL,0,"0","17","279.84",0,"0","0","0","279.84"
4576,"peoria heights","IL","6,074","23",0,"4",NULL,"3","16","378.66",0,"65.85","0","49.39","263.42"
4577,"estherville","IA","6,073","22",1,"2",NULL,"0","19","362.26",16.47,"32.93","0","0","312.86"
4578,"keene","TX","6,072","2",0,"0",NULL,"0","2","32.94",0,"0","0","0","32.94"
4579,"kasson","MN","6,071","4",0,"3",NULL,"0","1","65.89",0,"49.42","0","0","16.47"
4580,"fair haven","NJ","6,070","3",0,NULL,0,"1","2","49.42",0,"0","0","16.47","32.95"
4581,"erwin","TN","6,069","16",0,"1",NULL,"1","14","263.63",0,"16.48","0","16.48","230.68"
4582,"trenton","MO","6,068","7",1,"1",NULL,"1","4","115.36",16.48,"16.48","0","16.48","65.92"
4583,"mckees rocks","PA","6,065","81",1,"2",NULL,"41","37","1,335.53",16.49,"32.98","0","676.01","610.06"
4584,"alpine","TX","6,058","7",1,"0",NULL,"0","6","115.55",16.51,"0","0","0","99.04"
4585,"district heights","MD","6,053","22",1,NULL,0,"8","13","363.46",16.52,"0","0","132.17","214.77"
4586,"carolina beach","NC","6,053","15",1,NULL,0,"1","13","247.81",16.52,"0","0","16.52","214.77"
4587,"hartford city","IN","6,053","1",0,NULL,0,"1","0","16.52",0,"0","0","16.52","0"
4588,"mount healthy","OH","6,051","40",0,"4",NULL,"27","9","661.05",0,"66.1","0","446.21","148.74"
4589,"enoch","UT","6,051","13",0,NULL,2,"0","11","214.84",0,"0","33.05","0","181.79"
4590,"munford","TN","6,046","25",0,"4",NULL,"1","20","413.5",0,"66.16","0","16.54","330.8"
4591,"maquoketa","IA","6,044","10",0,"7",NULL,"0","3","165.45",0,"115.82","0","0","49.64"
4592,"colebrookdale district","PA","6,039","6",0,"0",NULL,"1","5","99.35",0,"0","0","16.56","82.8"
4593,"posen","IL","6,037","11",1,"0",NULL,"2","8","182.21",16.56,"0","0","33.13","132.52"
4594,"fowler","CA","6,032","49",0,NULL,3,"4","42","812.33",0,"0","49.73","66.31","696.29"
4595,"hillsborough","NH","6,031","11",0,"6",NULL,"0","5","182.39",0,"99.49","0","0","82.9"
4596,"holtville","CA","6,030","24",0,NULL,0,"2","22","398.01",0,"0","0","33.17","364.84"
4597,"southampton","MA","6,030","4",0,"1",NULL,"0","3","66.33",0,"16.58","0","0","49.75"
4598,"port clinton","OH","6,029","22",1,"4",NULL,"3","14","364.9",16.59,"66.35","0","49.76","232.21"
4599,"roanoke","AL","6,029","11",0,"0",NULL,"1","10","182.45",0,"0","0","16.59","165.86"
4600,"jamesburg","NJ","6,022","6",0,NULL,0,"3","3","99.63",0,"0","0","49.82","49.82"
4601,"waupaca","WI","6,020","25",0,NULL,0,"2","23","415.28",0,"0","0","33.22","382.06"
4602,"parkville","MO","6,018","3",0,"2",NULL,"0","1","49.85",0,"33.23","0","0","16.62"
4603,"paulsboro","NJ","6,016","20",1,NULL,0,"12","7","332.45",16.62,"0","0","199.47","116.36"
4604,"logan township","NJ","6,016","10",0,NULL,1,"3","6","166.22",0,"0","16.62","49.87","99.73"
4605,"rockford","MI","6,016","7",0,"6",NULL,"0","1","116.36",0,"99.73","0","0","16.62"
4606,"northville","MI","6,015","3",0,"0",NULL,"0","3","49.88",0,"0","0","0","49.88"
4607,"ohio township","PA","6,015","0",0,"0",NULL,"0","0","0",0,"0","0","0","0"
4608,"pauls valley","OK","6,012","21",0,"3",NULL,"2","16","349.3",0,"49.9","0","33.27","266.13"
4609,"pahokee","FL","6,010","74",1,"4",NULL,"10","59","1,231.28",16.64,"66.56","0","166.39","981.7"
4610,"union gap","WA","6,010","20",0,"1",NULL,"2","17","332.78",0,"16.64","0","33.28","282.86"
4611,"lakemoor","IL","6,004","5",0,"0",NULL,"0","5","83.28",0,"0","0","0","83.28"
4612,"caruthersville","MO","6,003","82",1,"8",NULL,"7","66","1,365.98",16.66,"133.27","0","116.61","1,099.45"
4613,"surfside","FL","6,003","4",0,"0",NULL,"2","2","66.63",0,"0","0","33.32","33.32"
4614,"milliken","CO","6,002","5",0,"0",NULL,"1","4","83.31",0,"0","0","16.66","66.64"
4615,"chocolay township","MI","6,001","0",0,"0",NULL,"0","0","0",0,"0","0","0","0"
4616,"freedom","WI","5,997","0",0,"0",NULL,"0","0","0",0,"0","0","0","0"
4617,"yoakum","TX","5,992","12",0,"5",NULL,"3","4","200.27",0,"83.44","0","50.07","66.76"
4618,"winthrop","ME","5,992","5",0,NULL,0,"1","4","83.44",0,"0","0","16.69","66.76"
4619,"chickasaw","AL","5,989","32",0,"2",NULL,"8","22","534.31",0,"33.39","0","133.58","367.34"
4620,"north manchester","IN","5,989","4",0,NULL,0,"2","2","66.79",0,"0","0","33.39","33.39"
4621,"rosendale town4","NY","5,985","2",0,"0",NULL,"0","2","33.42",0,"0","0","0","33.42"
4622,"rochelle park township","NJ","5,983","5",0,NULL,1,"4","0","83.57",0,"0","16.71","66.86","0"
4623,"hopedale","MA","5,982","12",0,"1",NULL,"0","11","200.6",0,"16.72","0","0","183.88"
4624,"villa park3","CA","5,982","5",0,"2",NULL,"2","1","83.58",0,"33.43","0","33.43","16.72"
4625,"cambria township","PA","5,981","3",0,"0",NULL,"1","2","50.16",0,"0","0","16.72","33.44"
4626,"st. helena","CA","5,978","6",0,NULL,2,"2","2","100.37",0,"0","33.46","33.46","33.46"
4627,"jordan","MN","5,977","4",0,"0",NULL,"1","3","66.92",0,"0","0","16.73","50.19"
4628,"houlton","ME","5,974","10",0,NULL,4,"0","6","167.39",0,"0","66.96","0","100.44"
4629,"larchmont village4","NY","5,971","0",0,"0",NULL,"0","0","0",0,"0","0","0","0"
4630,"independence","IA","5,970","2",0,"0",NULL,"0","2","33.5",0,"0","0","0","33.5"
4631,"elm grove","WI","5,953","1",0,NULL,0,"1","0","16.8",0,"0","0","16.8","0"
4632,"luzerne township","PA","5,947","1",0,"0",NULL,"0","1","16.82",0,"0","0","0","16.82"
4633,"du quoin","IL","5,946","13",0,"1",NULL,"2","10","218.63",0,"16.82","0","33.64","168.18"
4634,"gun barrel city","TX","5,946","8",0,"2",NULL,"1","5","134.54",0,"33.64","0","16.82","84.09"
4635,"joshua","TX","5,945","17",0,"3",NULL,"0","14","285.95",0,"50.46","0","0","235.49"
4636,"lakeside park-crestview hills","KY","5,945","2",0,"0",NULL,"1","1","33.64",0,"0","0","16.82","16.82"
4637,"battlefield","MO","5,945","1",0,"1",NULL,"0","0","16.82",0,"16.82","0","0","0"
4638,"colusa","CA","5,942","9",0,NULL,0,"4","5","151.46",0,"0","0","67.32","84.15"
4639,"bridgewater","VA","5,938","1",0,"1",NULL,"0","0","16.84",0,"16.84","0","0","0"
4640,"mendon","MA","5,936","6",0,"0",NULL,"0","6","101.08",0,"0","0","0","101.08"
4641,"prospect park","NJ","5,933","9",0,NULL,0,"6","3","151.69",0,"0","0","101.13","50.56"
4642,"mount zion","IL","5,931","4",0,"0",NULL,"3","1","67.44",0,"0","0","50.58","16.86"
4643,"tewksbury township","NJ","5,930","2",0,NULL,0,"0","2","33.73",0,"0","0","0","33.73"
4644,"carrollton township","MI","5,927","14",0,"2",NULL,"1","11","236.21",0,"33.74","0","16.87","185.59"
4645,"punxsutawney","PA","5,926","1",0,"1",NULL,"0","0","16.87",0,"16.87","0","0","0"
4646,"charleston","MO","5,924","59",2,"1",NULL,"12","44","995.95",33.76,"16.88","0","202.57","742.74"
4647,"sweetwater","TN","5,924","40",0,"2",NULL,"1","37","675.22",0,"33.76","0","16.88","624.58"
4648,"sheridan","CO","5,923","15",0,"2",NULL,"2","11","253.25",0,"33.77","0","33.77","185.72"
4649,"glendale","MO","5,921","1",0,"0",NULL,"0","1","16.89",0,"0","0","0","16.89"
4650,"prairie view","TX","5,920","21",3,"2",NULL,"5","11","354.73",50.68,"33.78","0","84.46","185.81"
4651,"beardstown","IL","5,919","52",0,"0",NULL,"0","52","878.53",0,"0","0","0","878.53"
4652,"milan","MI","5,917","12",0,"5",NULL,"1","6","202.81",0,"84.5","0","16.9","101.4"
4653,"lee","MA","5,914","8",0,"1",NULL,"1","6","135.27",0,"16.91","0","16.91","101.45"
4654,"medina village4","NY","5,913","11",0,"0",NULL,"4","7","186.03",0,"0","0","67.65","118.38"
4655,"old tappan","NJ","5,912","0",0,NULL,0,"0","0","0",0,"0","0","0","0"
4656,"mendham township","NJ","5,909","0",0,NULL,0,"0","0","0",0,"0","0","0","0"
4657,"bay harbor islands","FL","5,907","5",0,"0",NULL,"1","4","84.65",0,"0","0","16.93","67.72"
4658,"woodstock town4","NY","5,907","3",0,"1",NULL,"2","0","50.79",0,"16.93","0","33.86","0"
4659,"norwood","PA","5,903","7",0,"0",NULL,"1","6","118.58",0,"0","0","16.94","101.64"
4660,"lewistown","MT","5,900","23",0,"3",NULL,"0","20","389.83",0,"50.85","0","0","338.98"
4661,"grafton","OH","5,895","3",0,"0",NULL,"0","3","50.89",0,"0","0","0","50.89"
4662,"little silver","NJ","5,895","1",0,NULL,0,"0","1","16.96",0,"0","0","0","16.96"
4663,"elmira town","NY","5,894","1",0,NULL,0,"1","0","16.97",0,"0","0","16.97","0"
4664,"marion","VA","5,889","21",0,"2",NULL,"3","16","356.6",0,"33.96","0","50.94","271.69"
4665,"cherryville","NC","5,887","21",0,NULL,1,"5","15","356.72",0,"0","16.99","84.93","254.8"
4666,"bellevue","KY","5,887","12",0,"3",NULL,"5","4","203.84",0,"50.96","0","84.93","67.95"
4667,"bedford","VA","5,882","12",0,"6",NULL,"3","3","204.01",0,"102.01","0","51","51"
4668,"central city","KY","5,882","9",0,"5",NULL,"1","3","153.01",0,"85.01","0","17","51"
4669,"monument","CO","5,880","8",0,"3",NULL,"3","2","136.05",0,"51.02","0","51.02","34.01"
4670,"plymouth","PA","5,879","51",0,"1",NULL,"10","40","867.49",0,"17.01","0","170.1","680.39"
4671,"orleans","MA","5,878","12",0,"4",NULL,"0","8","204.15",0,"68.05","0","0","136.1"
4672,"watchung","NJ","5,878","8",0,NULL,0,"4","4","136.1",0,"0","0","68.05","68.05"
4673,"rensselaer","IN","5,874","20",0,NULL,3,"2","15","340.48",0,"0","51.07","34.05","255.36"
4674,"albion village4","NY","5,872","26",0,"3",NULL,"2","21","442.78",0,"51.09","0","34.06","357.63"
4675,"gunnison","CO","5,865","25",1,"7",NULL,"1","16","426.26",17.05,"119.35","0","17.05","272.8"
4676,"rindge","NH","5,865","6",0,"4",NULL,"0","2","102.3",0,"68.2","0","0","34.1"
4677,"dover","MA","5,864","2",0,"0",NULL,"0","2","34.11",0,"0","0","0","34.11"
4678,"woodcliff lake","NJ","5,863","0",0,NULL,0,"0","0","0",0,"0","0","0","0"
4679,"brookville","OH","5,862","4",0,NULL,2,"1","1","68.24",0,"0","34.12","17.06","17.06"
4680,"ridgefield","WA","5,856","4",0,"1",NULL,"0","3","68.31",0,"17.08","0","0","51.23"
4681,"warren","AR","5,855","23",2,"5",NULL,"1","15","392.83",34.16,"85.4","0","17.08","256.19"
4682,"malone village4","NY","5,853","3",0,"2",NULL,"1","0","51.26",0,"34.17","0","17.09","0"
4683,"greenville","PA","5,848","21",0,"1",NULL,"0","20","359.1",0,"17.1","0","0","342"
4684,"blairstown township","NJ","5,848","1",0,NULL,0,"0","1","17.1",0,"0","0","0","17.1"
4685,"hellertown","PA","5,844","9",0,"0",NULL,"1","8","154",0,"0","0","17.11","136.89"
4686,"tequesta","FL","5,844","3",0,"0",NULL,"0","3","51.33",0,"0","0","0","51.33"
4687,"kingston","TN","5,843","33",0,"3",NULL,"2","28","564.78",0,"51.34","0","34.23","479.21"
4688,"cheraw","SC","5,834","42",2,"2",NULL,"7","31","719.92",34.28,"34.28","0","119.99","531.37"
4689,"richmond","MI","5,828","18",0,"2",NULL,"0","16","308.85",0,"34.32","0","0","274.54"
4690,"norwood","NJ","5,826","1",0,NULL,0,"0","1","17.16",0,"0","0","0","17.16"
4691,"sandersville","GA","5,822","38",0,NULL,4,"12","22","652.7",0,"0","68.7","206.11","377.88"
4692,"indian hill","OH","5,814","0",0,"0",NULL,"0","0","0",0,"0","0","0","0"
4693,"prosser","WA","5,809","21",0,"1",NULL,"1","19","361.51",0,"17.21","0","17.21","327.08"
4694,"oceanport","NJ","5,809","7",0,NULL,0,"2","5","120.5",0,"0","0","34.43","86.07"
4695,"roseland","NJ","5,803","3",0,NULL,0,"1","2","51.7",0,"0","0","17.23","34.46"
4696,"henryetta","OK","5,802","8",0,"4",NULL,"1","3","137.88",0,"68.94","0","17.24","51.71"
4697,"holdenville","OK","5,799","5",0,"2",NULL,"0","3","86.22",0,"34.49","0","0","51.73"
4698,"hollidaysburg","PA","5,796","3",0,"1",NULL,"2","0","51.76",0,"17.25","0","34.51","0"
4699,"reading township","PA","5,794","1",0,"0",NULL,"0","1","17.26",0,"0","0","0","17.26"
