index,"unnamed_0","por",jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann,"county","state"
166,"13722RALEIGH,NC","194406-201512",-9,0,11,23,29,38,48,46,37,19,11,4,-9,"raleigh","NC"
167,"13748WILMINGTON,NC","194801-201512",5,11,9,29,35,48,55,55,44,27,16,0,0,"wilmington","NC"
168,"24011BISMARCK,ND","194801-201512",-44,-43,-31,-12,15,30,35,33,11,-10,-30,-43,-44,"bismarck","ND"
169,"14914FARGO,ND","189106-201512",-36,-39,-34,-7,17,30,36,31,19,5,-28,-32,-39,"fargo","ND"
170,"14916GRAND FORKS,ND","194809-201512",-43,-40,-29,-8,5,30,30,31,20,6,-31,-32,-43,"grand forks","ND"
171,"94014WILLISTON,ND","189401-201512",-42,-50,-35,-15,10,26,34,32,13,-9,-27,-50,-50,"williston","ND"
172,"14895AKRON,OH","194807-201512",-25,-13,-3,10,24,32,43,41,32,20,-1,-16,-25,"akron","OH"
173,"93814CINCINNATI,OH","194801-201512",-25,-15,-11,15,27,39,47,43,31,16,0,-20,-25,"cincinnati","OH"
174,"14820CLEVELAND,OH","193805-201512",-20,-17,-5,10,25,31,41,38,32,19,3,-15,-20,"cleveland","OH"
175,"14821COLUMBUS,OH","194801-201512",-22,-13,-6,14,25,35,43,39,31,17,-4,-17,-22,"columbus","OH"
176,"93815DAYTON,OH","194801-201512",-25,-16,-7,15,26,40,44,40,32,21,-2,-20,-25,"dayton","OH"
177,"14891MANSFIELD,OH","194812-201512",-22,-11,-6,8,25,37,43,40,33,20,2,-17,-22,"mansfield","OH"
178,"94830TOLEDO,OH","195501-201512",-20,-19,-6,8,25,32,40,34,26,15,2,-19,-20,"toledo","OH"
179,"14852YOUNGSTOWN,OH","193408-201512",-22,-16,-10,11,24,30,40,32,27,20,1,-12,-22,"youngstown","OH"
180,"13967OKLAHOMA CITY,OK","194801-201512",-4,-5,1,20,32,47,53,50,36,16,11,-8,-8,"oklahoma city","OK"
181,"13968TULSA,OK","193812-201512",-6,-12,-3,22,35,49,51,50,35,18,10,-8,-12,"tulsa","OK"
182,"94224ASTORIA,OR","195302-201512",11,9,22,29,30,37,39,39,33,26,15,6,6,"astoria","OR"
183,"94185BURNS,OR","197306-201512",-27,-28,-14,10,13,21,25,22,17,-7,-15,-30,-30,"burns","OR"
184,"24221EUGENE,OR","193806-201512",-4,-3,20,27,28,32,39,38,31,17,12,-10,-10,"eugene","OR"
185,"24225MEDFORD,OR","192801-201512",-3,6,16,21,28,31,38,39,29,18,10,-6,-6,"medford","OR"
186,"24155PENDLETON,OR","192801-201512",-22,-18,1,18,25,35,38,40,29,11,-12,-19,-22,"pendleton","OR"
187,"24229PORTLAND,OR","193804-201512",-2,-3,19,29,29,39,43,44,34,26,13,6,-3,"portland","OR"
188,"24232SALEM,OR","189301-201512",-10,-4,12,23,25,32,35,30,26,19,9,-5,-10,"salem","OR"
189,"24235SEXTON SUMMIT,OR","194801-201512",-2,3,15,19,22,27,36,38,30,20,11,-4,-4,"sexton summit","OR"
190,"14737ALLENTOWN,PA","194801-201512",-15,-8,-1,16,29,39,46,41,31,21,11,-8,-15,"allentown","PA"
191,"14860ERIE,PA","192601-201512",-18,-18,-9,12,26,32,44,37,33,24,6,-6,-18,"erie","PA"
192,"14711MIDDLETOWN/HARRISBUR","194101-201512",-22,-6,-1,24,31,42,46,44,33,26,15,-9,-22,NULL,NULL
193,"13739PHILADELPHIA,PA","194801-201512",-7,-4,7,19,28,44,51,44,35,25,15,1,-7,"philadelphia","PA"
194,"94823PITTSBURGH,PA","194801-201512",-22,-12,-5,14,26,34,42,39,31,16,-1,-12,-22,"pittsburgh","PA"
195,"14777AVOCA,PA","194901-201512",-21,-16,-4,14,27,34,43,38,29,19,9,-9,-21,"avoca","PA"
196,"14778WILLIAMSPORT,PA","194805-201512",-20,-13,-2,15,28,36,43,38,30,20,8,-15,-20,"williamsport","PA"
197,"14765PROVIDENCE,RI","194801-201512",-13,-7,1,14,29,41,48,40,32,20,6,-10,-13,"providence","RI"
198,"13782CHARLESTON,SC","189301-201511",10,7,22,36,45,52,61,59,50,37,17,12,7,"charleston","SC"
199,"13883COLUMBIA,SC","194801-201512",-1,5,4,26,34,44,54,53,40,23,12,4,-1,"columbia","SC"
200,"03870GREENVILLE-SPARTANBU","196211-201512",-6,8,11,24,31,40,54,52,36,25,12,5,-6,NULL,NULL
201,"14929ABERDEEN,SD","189301-201512",-46,-46,-32,-2,13,28,35,30,11,-6,-27,-39,-46,"aberdeen","SD"
202,"14936HURON,SD","188107-201512",-43,-41,-25,-2,16,31,37,33,18,-6,-28,-34,-43,"huron","SD"
203,"24090RAPID CITY,SD","194805-201512",-27,-31,-21,1,18,31,39,38,18,-2,-19,-30,-31,"rapid city","SD"
204,"14944SIOUX FALLS,SD","193201-201512",-36,-31,-23,4,17,33,38,34,22,9,-17,-28,-36,"sioux falls","SD"
205,"13877BRISTOL-JHNSN CTY-KN","193710-201512",-21,-15,-2,21,30,38,45,43,33,20,5,-9,-21,NULL,NULL
206,"13882CHATTANOOGA,TN","193804-201512",-13,1,8,25,34,41,51,50,36,22,4,-2,-13,"chattanooga","TN"
207,"13891KNOXVILLE,TN","191001-201512",-24,-8,1,22,32,43,49,49,36,24,5,-6,-24,"knoxville","TN"
208,"13893MEMPHIS,TN","194002-201512",-4,-11,12,28,36,48,52,48,36,25,9,-13,-13,"memphis","TN"
209,"13897NASHVILLE,TN","194801-201512",-17,-13,2,23,34,42,54,49,36,26,-1,-10,-17,"nashville","TN"
210,"03841OAK RIDGE,TN","194808-201511",-17,-13,1,20,30,39,49,50,33,21,0,-7,-17,"oak ridge","TN"
211,"13962ABILENE,TX","194801-201512",-1,-7,9,25,33,47,57,50,38,23,14,-7,-7,"abilene","TX"
212,"23047AMARILLO,TX","194701-201512",-11,-14,-3,17,27,41,51,48,30,12,0,-8,-14,"amarillo","TX"
213,"13958AUSTIN,TX","193806-201512",-2,7,18,31,43,53,62,60,41,30,20,4,-2,"austin","TX"
214,"12919BROWNSVILLE,TX","189812-201512",19,22,28,37,50,56,62,62,51,35,27,15,15,"brownsville","TX"
215,"12924CORPUS CHRISTI,TX","194801-201512",14,18,24,33,47,58,64,64,52,28,27,13,13,"corpus christi","TX"
216,"13960DALLAS,TX","193908-201512",0,7,11,31,39,53,60,56,36,27,17,1,0,"dallas","TX"
217,"22010DEL RIO,TX","195105-201512",15,14,21,33,45,55,64,64,48,28,22,10,10,"del rio","TX"
218,"23044EL PASO,TX","194707-201512",-8,1,14,23,31,46,57,56,42,25,1,5,-8,"el paso","TX"
219,"12923GALVESTON,TX","194608-201512",17,18,32,41,50,60,66,70,58,45,29,23,17,"galveston","TX"
220,"12960HOUSTON,TX","196906-201512",12,20,22,31,42,52,62,60,48,29,19,7,7,"houston","TX"
221,"23042LUBBOCK,TX","194701-201512",-16,-8,2,22,27,44,51,51,33,18,-1,-2,-16,"lubbock","TX"
222,"23023MIDLAND-ODESSA,TX","193006-201512",-8,-11,9,20,32,47,49,52,36,24,10,-1,-11,"midland-odessa","TX"
223,"12917PORT ARTHUR,TX","194710-201512",14,13,23,32,42,56,61,60,45,30,22,12,12,"port arthur","TX"
224,"23034SAN ANGELO,TX","190708-201512",1,-1,8,23,35,42,54,45,35,19,12,-4,-4,"san angelo","TX"
225,"12921SAN ANTONIO,TX","194609-201512",0,6,19,31,42,53,62,61,46,27,21,6,0,"san antonio","TX"
226,"12912VICTORIA,TX","195303-201512",14,19,21,33,45,59,66,62,48,31,24,9,9,"victoria","TX"
227,"13959WACO,TX","194101-201512",-5,4,15,26,34,52,58,53,39,25,17,-4,-5,"waco","TX"
228,"13966WICHITA FALLS,TX","190701-201512",-12,-8,6,24,35,50,54,53,38,21,14,-7,-12,"wichita falls","TX"
229,"24127SALT LAKE CITY,UT","194801-201512",-22,-14,2,15,25,35,40,37,27,16,-14,-15,-22,"salt lake city","UT"
230,"14742BURLINGTON,VT","194012-201512",-30,-30,-20,2,24,33,39,35,25,15,-2,-26,-30,"burlington","VT"
231,"13733LYNCHBURG,VA","194408-201512",-10,-11,5,20,31,40,49,45,35,21,8,-4,-11,"lynchburg","VA"
232,"13737NORFOLK,VA","194601-201512",-3,8,18,28,36,45,54,49,45,27,20,7,-3,"norfolk","VA"
233,"13740RICHMOND,VA","193903-201512",-12,-8,10,23,31,40,51,47,35,21,14,1,-12,"richmond","VA"
234,"13741ROANOKE,VA","194801-201512",-11,-1,9,20,31,39,47,42,34,22,9,-4,-11,"roanoke","VA"
235,"93739WALLOPS ISLAND,VA","196610-201512",0,-1,14,27,37,43,53,48,43,29,19,4,-1,"wallops island","VA"
236,"24227OLYMPIA,WA","194801-201512",-8,-1,9,23,25,30,35,33,25,14,-1,-7,-8,"olympia","WA"
237,"94240QUILLAYUTE,WA","196608-201512",7,11,19,23,29,33,38,36,28,23,5,7,5,"quillayute","WA"
238,"24233SEATTLE,WA","194801-201512",0,1,11,29,28,38,43,44,35,28,6,6,0,"seattle","WA"
239,"24157SPOKANE,WA","188908-201512",-24,-24,-10,14,24,33,37,35,22,7,-21,-25,-25,"spokane","WA"
240,"24160WALLA WALLA,WA","194901-201512",-18,-9,4,20,26,36,40,42,32,15,-11,-24,-24,"walla walla","WA"
241,"24243YAKIMA,WA","194610-201512",-21,-25,-1,18,25,30,34,35,24,4,-13,-17,-25,"yakima","WA"
242,"03872BECKLEY,WV","196306-201512",-22,-16,-5,11,23,32,41,36,30,18,4,-18,-22,"beckley","WV"
243,"13866CHARLESTON,WV","194810-201512",-16,-12,0,19,26,33,46,41,34,17,6,-12,-16,"charleston","WV"
244,"13729ELKINS,WV","192601-201512",-24,-22,-15,3,20,25,32,34,26,11,-8,-24,-24,"elkins","WV"
245,"03860HUNTINGTON,WV","196101-201512",-21,-16,-2,20,27,40,46,43,31,16,8,-13,-21,"huntington","WV"
246,"14898GREEN BAY,WI","188609-201512",-36,-33,-29,7,21,32,40,38,24,8,-12,-27,-36,"green bay","WI"
247,"14920LA CROSSE,WI","193804-201512",-37,-36,-28,7,26,32,41,36,23,14,-16,-30,-37,"la crosse","WI"
248,"14837MADISON,WI","193910-201512",-37,-29,-29,0,19,31,36,35,25,13,-8,-25,-37,"madison","WI"
249,"14839MILWAUKEE,WI","193804-201512",-26,-26,-10,12,21,33,40,44,28,18,-5,-20,-26,"milwaukee","WI"
250,"24089CASPER,WY","194808-201512",-40,-32,-21,-6,16,28,30,29,16,-3,-27,-41,-41,"casper","WY"
251,"24018CHEYENNE,WY","191501-201512",-30,-34,-21,-8,9,25,33,36,8,-1,-21,-28,-34,"cheyenne","WY"
252,"24021LANDER,WY","194801-201512",-37,-28,-16,-2,18,25,39,35,10,-3,-18,-37,-37,"lander","WY"
253,"24029SHERIDAN,WY","194801-201512",-35,-32,-23,-2,13,27,35,30,6,-9,-25,-37,-37,"sheridan","WY"
254,"41415GUAM,PC","195703-201512",56,59,54,59,62,63,64,63,61,64,62,61,54,"guam","PC"
255,"40309KOROR,PC","195107-201512",69,71,69,69,71,71,70,70,70,71,70,71,69,"koror","PC"
256,"40604KWAJALEIN- MARSHALL","195205-201511",68,71,70,71,71,71,70,71,68,71,70,69,68,NULL,NULL
257,"40710MAJURO- MARSHALL IS,","195502-201511",69,70,70,70,70,70,70,71,70,70,68,70,68,"majuro- marshall is",""
258,"61705PAGO PAGO- AMER SAMO","196604-201512",69,70,69,68,66,65,64,64,63,67,68,68,63,NULL,NULL
259,"40504POHNPEI- CAROLINE IS","195107-201511",61,63,65,61,67,67,66,63,62,65,64,65,61,NULL,NULL
260,"40505CHUUK- E. CAROLINE I","195107-201512",68,67,68,68,67,68,67,69,67,64,66,69,64,NULL,NULL
261,"40308YAP- W CAROLINE IS.,","195107-201511",67,66,64,66,67,65,66,65,66,66,63,65,63,"yap- w caroline is.",""
262,"11641SAN JUAN,PR","195601-201512",61,62,60,64,66,69,69,70,69,67,66,63,60,"san juan","PR"
